,sent_id,word,topic_id,topic_score
10558,720,anderhalve,0,0.03246206417679787
10559,720,anderhalve,2,0.018093831837177277
10560,720,anderhalve,3,0.013444995507597923
10561,720,anderhalve,5,0.012979826889932156
10562,720,meter,0,0.025987086817622185
10563,720,meter,1,0.010295337997376919
10564,720,meter,2,0.024252990260720253
10565,720,meter,3,0.032498832792043686
10566,720,meter,4,0.05097940191626549
10567,720,meter,5,0.019691824913024902
10568,720,onze,5,0.019093016162514687
10569,721,meter,0,0.025987086817622185
10570,721,meter,1,0.010295337997376919
10571,721,meter,2,0.024252990260720253
10572,721,meter,3,0.032498832792043686
10573,721,meter,4,0.05097940191626549
10574,721,meter,5,0.019691824913024902
10575,721,‘,0,0.02203148789703846
10576,721,‘,1,0.014025192707777023
10577,721,kans,4,0.05099555850028992
10578,721,laat,0,0.015687253326177597
10579,721,laat,4,0.012683358043432236
10580,721,jij,0,0.02669551968574524
10581,721,prima,3,0.015637731179594994
10582,721,vandaag,0,0.015830401331186295
10583,721,vandaag,1,0.014369797892868519
10584,722,mensen,1,0.010593553073704243
10585,722,mensen,2,0.027829408645629883
10586,722,mensen,3,0.01911386288702488
10587,722,mensen,4,0.01867440715432167
10588,722,mensen,5,0.018564222380518913
10589,722,we,1,0.029164142906665802
10590,722,we,2,0.014647376723587513
10591,722,we,5,0.03876664489507675
10592,722,weer,1,0.011518411338329315
10593,722,weer,2,0.027011530473828316
10594,722,weer,3,0.011785176582634449
10595,722,moeten,5,0.037082601338624954
10596,722,onze,5,0.019093016162514687
10597,722,tijdens,1,0.011463404633104801
10598,722,#anderhalvemetersamenleving,4,0.04101597145199776
10599,723,meter,0,0.025987086817622185
10600,723,meter,1,0.010295337997376919
10601,723,meter,2,0.024252990260720253
10602,723,meter,3,0.032498832792043686
10603,723,meter,4,0.05097940191626549
10604,723,meter,5,0.019691824913024902
10605,723,gaan,2,0.019484372809529305
10606,723,gaan,5,0.0220489501953125
10607,723,we,1,0.029164142906665802
10608,723,we,2,0.014647376723587513
10609,723,we,5,0.03876664489507675
10610,723,nederland,2,0.027073057368397713
10611,724,lockdown,1,0.028339620679616928
10612,724,lockdown,3,0.026806483045220375
10613,724,lockdown,5,0.010759448632597923
10614,724,afstand,0,0.013506509363651276
10615,724,afstand,1,0.02184661105275154
10616,724,afstand,2,0.030169116333127022
10617,724,afstand,3,0.01741955615580082
10618,724,afstand,4,0.02522105537354946
10619,724,afstand,5,0.017081083729863167
10620,724,we,1,0.029164142906665802
10621,724,we,2,0.014647376723587513
10622,724,we,5,0.03876664489507675
10623,724,weer,1,0.011518411338329315
10624,724,weer,2,0.027011530473828316
10625,724,weer,3,0.011785176582634449
10626,724,nieuwe,1,0.026631344109773636
10627,724,alleen,0,0.02487984485924244
10628,724,houd,2,0.01421813853085041
10629,724,houd,4,0.030589032918214798
10630,725,afstand,0,0.013506509363651276
10631,725,afstand,1,0.02184661105275154
10632,725,afstand,2,0.030169116333127022
10633,725,afstand,3,0.01741955615580082
10634,725,afstand,4,0.02522105537354946
10635,725,afstand,5,0.017081083729863167
10636,725,houden,1,0.027276815846562386
10637,725,houden,2,0.03333160653710365
10638,725,houden,3,0.019370166584849358
10639,725,houden,4,0.011532431468367577
10640,725,houden,5,0.02216542698442936
10641,725,vandaag,0,0.015830401331186295
10642,725,vandaag,1,0.014369797892868519
10643,726,lockdown,1,0.028339620679616928
10644,726,lockdown,3,0.026806483045220375
10645,726,lockdown,5,0.010759448632597923
10646,726,mensen,1,0.010593553073704243
10647,726,mensen,2,0.027829408645629883
10648,726,mensen,3,0.01911386288702488
10649,726,mensen,4,0.01867440715432167
10650,726,mensen,5,0.018564222380518913
10651,726,nieuwe,1,0.026631344109773636
10652,726,normaal,1,0.03117392584681511
10653,726,rutte,0,0.019262824207544327
10654,727,#stopdelockdown,4,0.03781375661492348
10655,728,anderhalve,0,0.03246206417679787
10656,728,anderhalve,2,0.018093831837177277
10657,728,anderhalve,3,0.013444995507597923
10658,728,anderhalve,5,0.012979826889932156
10659,728,gewoon,2,0.029279662296175957
10660,728,meter,0,0.025987086817622185
10661,728,meter,1,0.010295337997376919
10662,728,meter,2,0.024252990260720253
10663,728,meter,3,0.032498832792043686
10664,728,meter,4,0.05097940191626549
10665,728,meter,5,0.019691824913024902
10666,728,afstand,0,0.013506509363651276
10667,728,afstand,1,0.02184661105275154
10668,728,afstand,2,0.030169116333127022
10669,728,afstand,3,0.01741955615580082
10670,728,afstand,4,0.02522105537354946
10671,728,afstand,5,0.017081083729863167
10672,728,gaan,2,0.019484372809529305
10673,728,gaan,5,0.0220489501953125
10674,728,we,1,0.029164142906665802
10675,728,we,2,0.014647376723587513
10676,728,we,5,0.03876664489507675
10677,728,handen,1,0.013213765807449818
10678,728,handen,2,0.02098681591451168
10679,728,gaat,1,0.026213007047772408
10680,728,gaat,2,0.014961917884647846
10681,728,vakantie,0,0.019922956824302673
10682,728,ruimte,0,0.02182556316256523
10683,728,houd,2,0.01421813853085041
10684,728,houd,4,0.030589032918214798
10685,729,anderhalve,0,0.03246206417679787
10686,729,anderhalve,2,0.018093831837177277
10687,729,anderhalve,3,0.013444995507597923
10688,729,anderhalve,5,0.012979826889932156
10689,729,meter,0,0.025987086817622185
10690,729,meter,1,0.010295337997376919
10691,729,meter,2,0.024252990260720253
10692,729,meter,3,0.032498832792043686
10693,729,meter,4,0.05097940191626549
10694,729,meter,5,0.019691824913024902
10695,729,️,2,0.02466055192053318
10696,730,lockdown,1,0.028339620679616928
10697,730,lockdown,3,0.026806483045220375
10698,730,lockdown,5,0.010759448632597923
10699,730,meter,0,0.025987086817622185
10700,730,meter,1,0.010295337997376919
10701,730,meter,2,0.024252990260720253
10702,730,meter,3,0.032498832792043686
10703,730,meter,4,0.05097940191626549
10704,730,meter,5,0.019691824913024902
10705,730,blijven,5,0.02281617373228073
10706,730,wel,1,0.01472223736345768
10707,730,wel,2,0.02804906852543354
10708,730,wel,3,0.022085873410105705
10709,730,helemaal,0,0.013523477129638195
10710,730,waarom,0,0.02072514407336712
10711,730,alleen,0,0.02487984485924244
10712,730,horeca,0,0.016367817297577858
10713,730,open,2,0.01379828155040741
10714,731,blijven,5,0.02281617373228073
10715,731,m,0,0.017229191958904266
10716,731,m,1,0.03867082670331001
10717,731,m,5,0.01306188851594925
10718,731,mag,3,0.023788079619407654
10719,731,mag,4,0.012680165469646454
10720,731,alleen,0,0.02487984485924244
10721,731,groot,4,0.01752946898341179
10722,732,houden,1,0.027276815846562386
10723,732,houden,2,0.03333160653710365
10724,732,houden,3,0.019370166584849358
10725,732,houden,4,0.011532431468367577
10726,732,houden,5,0.02216542698442936
10727,732,thuis,2,0.020776929333806038
10728,732,thuis,4,0.013985197059810162
10729,732,we,1,0.029164142906665802
10730,732,we,2,0.014647376723587513
10731,732,we,5,0.03876664489507675
10732,732,regels,3,0.017847450450062752
10733,732,regels,5,0.010867222212255001
10734,732,even,2,0.027293339371681213
10735,732,doe,1,0.013207819312810898
10736,732,mtr,5,0.010747706517577171
10737,732,houdt,0,0.019616801291704178
10738,733,meter,0,0.025987086817622185
10739,733,meter,1,0.010295337997376919
10740,733,meter,2,0.024252990260720253
10741,733,meter,3,0.032498832792043686
10742,733,meter,4,0.05097940191626549
10743,733,meter,5,0.019691824913024902
10744,733,afstand,0,0.013506509363651276
10745,733,afstand,1,0.02184661105275154
10746,733,afstand,2,0.030169116333127022
10747,733,afstand,3,0.01741955615580082
10748,733,afstand,4,0.02522105537354946
10749,733,afstand,5,0.017081083729863167
10750,733,gaan,2,0.019484372809529305
10751,733,gaan,5,0.0220489501953125
10752,733,maken,0,0.016016975045204163
10753,733,‘,0,0.02203148789703846
10754,733,‘,1,0.014025192707777023
10755,733,alleen,0,0.02487984485924244
10756,733,onze,5,0.019093016162514687
10757,733,prima,3,0.015637731179594994
10758,734,afstand,0,0.013506509363651276
10759,734,afstand,1,0.02184661105275154
10760,734,afstand,2,0.030169116333127022
10761,734,afstand,3,0.01741955615580082
10762,734,afstand,4,0.02522105537354946
10763,734,afstand,5,0.017081083729863167
10764,734,houden,1,0.027276815846562386
10765,734,houden,2,0.03333160653710365
10766,734,houden,3,0.019370166584849358
10767,734,houden,4,0.011532431468367577
10768,734,houden,5,0.02216542698442936
10769,734,ruimte,0,0.02182556316256523
10770,735,gaan,2,0.019484372809529305
10771,735,gaan,5,0.0220489501953125
10772,735,we,1,0.029164142906665802
10773,735,we,2,0.014647376723587513
10774,735,we,5,0.03876664489507675
10775,735,werkt,3,0.025388823822140694
10776,735,vaccin,0,0.014667085371911526
10777,735,vaccin,3,0.02195153944194317
10778,735,vaccin,5,0.014781993813812733
10779,735,nemen,5,0.017829766497015953
10780,735,zegt,5,0.016418149694800377
10781,736,lockdown,1,0.028339620679616928
10782,736,lockdown,3,0.026806483045220375
10783,736,lockdown,5,0.010759448632597923
10784,736,meter,0,0.025987086817622185
10785,736,meter,1,0.010295337997376919
10786,736,meter,2,0.024252990260720253
10787,736,meter,3,0.032498832792043686
10788,736,meter,4,0.05097940191626549
10789,736,meter,5,0.019691824913024902
10790,736,mensen,1,0.010593553073704243
10791,736,mensen,2,0.027829408645629883
10792,736,mensen,3,0.01911386288702488
10793,736,mensen,4,0.01867440715432167
10794,736,mensen,5,0.018564222380518913
10795,736,moeten,5,0.037082601338624954
10796,736,prima,3,0.015637731179594994
10797,737,meter,0,0.025987086817622185
10798,737,meter,1,0.010295337997376919
10799,737,meter,2,0.024252990260720253
10800,737,meter,3,0.032498832792043686
10801,737,meter,4,0.05097940191626549
